[2025-09-05 21:27:13] [INFO    ] discord.client: logging in using static token
[2025-09-05 21:27:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-05 21:27:14] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-05 21:27:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1412636582699077672', 'username': 'bot', 'avatar': None, 'discriminator': '7715', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-05 21:27:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-05 21:27:14] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-05 21:27:14] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1412636582699077672', 'name': 'bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1412636582699077672', 'username': 'bot', 'avatar': None, 'discriminator': '7715', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'fcf04291966320836de12263ef10bdb6c85f1c5991b9d244dc5813fa54078151', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '729334509149093918', 'username': 'rubaa_', 'avatar': '6b7be855887154fc95616ebc0ab0c7e8', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'ruba', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-05 21:27:14] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-05 21:27:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-5qzr",{"micros":0.0}]']}}
[2025-09-05 21:27:14] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-05 21:27:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-05 21:27:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1412636582699077672', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7715', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '2a79ff07a3085155096f30fb58ed66f6', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1412640636896808982'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-east', 'us-west'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1412636582699077672', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-5qzr",{"micros":83081,"calls":["id_created",{"micros":383,"calls":[]},"session_lookup_time",{"micros":553,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-112",{"micros":81161,"calls":["start_session",{"micros":66231,"calls":["discord-api-rpc-84858b7744-m25gs",{"micros":37214,"calls":["get_user",{"micros":6994},"get_guilds",{"micros":2663},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":18443},"apex_experiments",{"micros":4080},"user_activities",{"micros":5},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":29,"calls":[]},"presence_started",{"micros":9235,"calls":[]},"guilds_started",{"micros":59,"calls":[]},"lobbies_started",{"micros":12,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":5578,"calls":[]},"connect_finished",{"micros":5583,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-05 21:27:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-05 21:27:14] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 2a79ff07a3085155096f30fb58ed66f6).
[2025-09-05 21:27:14] [DEBUG   ] discord.client: Dispatching event connect
